Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
2/1/2019,0:00,-0.101,-,0.04
2/1/2019,1:00,0.034,-,0.157
2/1/2019,2:00,0.17,-,0.233
2/1/2019,3:00,0.257,-,0.24
2/1/2019,4:00,0.262,-,0.172
2/1/2019,5:00,0.185,-,0.06
2/1/2019,6:00,0.042,-,-0.056
2/1/2019,7:00,-0.152,-,-0.243
2/1/2019,8:00,-0.379,-,-0.398
2/1/2019,9:00,-0.608,-,-0.544
2/1/2019,10:00,-0.778,-,-0.645
2/1/2019,11:00,-0.851,-,-0.666
2/1/2019,12:00,-0.822,-,-0.57
2/1/2019,13:00,-0.695,-,-0.454
2/1/2019,14:00,-0.488,-,-0.264
2/1/2019,15:00,-0.26,-,-0.085
2/1/2019,16:00,-0.074,-,0.104
2/1/2019,17:00,0.037,-,0.214
2/1/2019,18:00,0.066,-,0.253
2/1/2019,19:00,0.025,-,0.19
2/1/2019,20:00,-0.071,-,0.116
2/1/2019,21:00,-0.19,-,0.051
2/1/2019,22:00,-0.279,-,-0.019
2/1/2019,23:00,-0.293,-,-0.028
2/2/2019,0:00,-0.23,-,0.017
2/2/2019,1:00,-0.108,-,0.144
2/2/2019,2:00,0.053,-,0.291
2/2/2019,3:00,0.205,-,0.444
2/2/2019,4:00,0.291,-,0.535
2/2/2019,5:00,0.285,-,0.477
2/2/2019,6:00,0.189,-,0.353
2/2/2019,7:00,0.02,-,0.158
2/2/2019,8:00,-0.202,-,-0.069
2/2/2019,9:00,-0.452,-,-0.317
2/2/2019,10:00,-0.686,-,-0.536
2/2/2019,11:00,-0.844,-,-0.664
2/2/2019,12:00,-0.891,-,-0.68
2/2/2019,13:00,-0.823,-,-0.578
2/2/2019,14:00,-0.649,-,-0.405
2/2/2019,15:00,-0.407,-,-0.161
2/2/2019,16:00,-0.165,-,0.054
2/2/2019,17:00,0.015,-,0.243
2/2/2019,18:00,0.104,-,0.352
2/2/2019,19:00,0.101,-,0.369
2/2/2019,20:00,0.021,-,0.26
2/2/2019,21:00,-0.106,-,0.112
2/2/2019,22:00,-0.243,-,-0.023
2/2/2019,23:00,-0.333,-,-0.121
2/3/2019,0:00,-0.333,-,-0.154
2/3/2019,1:00,-0.244,-,-0.052
2/3/2019,2:00,-0.089,-,0.133
2/3/2019,3:00,0.095,-,0.351
2/3/2019,4:00,0.25,-,0.552
2/3/2019,5:00,0.322,-,0.672
2/3/2019,6:00,0.291,-,0.619
2/3/2019,7:00,0.163,-,0.47
2/3/2019,8:00,-0.04,-,0.228
2/3/2019,9:00,-0.286,-,-0.034
2/3/2019,10:00,-0.545,-,-0.293
2/3/2019,11:00,-0.767,-,-0.511
2/3/2019,12:00,-0.892,-,-0.649
2/3/2019,13:00,-0.89,-,-0.621
2/3/2019,14:00,-0.768,-,-0.471
2/3/2019,15:00,-0.55,-,-0.262
2/3/2019,16:00,-0.289,-,-0.01
2/3/2019,17:00,-0.054,-,0.217
2/3/2019,18:00,0.098,-,0.38
2/3/2019,19:00,0.146,-,0.426
2/3/2019,20:00,0.097,-,0.349
2/3/2019,21:00,-0.02,-,0.193
2/3/2019,22:00,-0.172,-,0.011
2/3/2019,23:00,-0.316,-,-0.164
2/4/2019,0:00,-0.39,-,-0.273
2/4/2019,1:00,-0.357,-,-0.216
2/4/2019,2:00,-0.229,-,-0.087
2/4/2019,3:00,-0.043,-,0.135
2/4/2019,4:00,0.152,-,0.395
2/4/2019,5:00,0.295,-,0.601
2/4/2019,6:00,0.339,-,0.694
2/4/2019,7:00,0.268,-,0.604
2/4/2019,8:00,0.099,-,0.414
2/4/2019,9:00,-0.131,-,0.16
2/4/2019,10:00,-0.39,-,-0.129
2/4/2019,11:00,-0.642,-,-0.387
2/4/2019,12:00,-0.834,-,-0.598
2/4/2019,13:00,-0.903,-,-0.723
2/4/2019,14:00,-0.838,-,-0.615
2/4/2019,15:00,-0.662,-,-0.434
2/4/2019,16:00,-0.415,-,-0.191
2/4/2019,17:00,-0.153,-,0.073
2/4/2019,18:00,0.052,-,0.288
2/4/2019,19:00,0.156,-,0.402
2/4/2019,20:00,0.15,-,0.422
2/4/2019,21:00,0.055,-,0.297
2/4/2019,22:00,-0.093,-,0.116
2/4/2019,23:00,-0.259,-,-0.07
2/5/2019,0:00,-0.393,-,-0.227
2/5/2019,1:00,-0.432,-,-0.292
2/5/2019,2:00,-0.352,-,-0.196
2/5/2019,3:00,-0.184,-,-0.029
2/5/2019,4:00,0.021,-,0.222
2/5/2019,5:00,0.212,-,0.471
2/5/2019,6:00,0.328,-,0.639
2/5/2019,7:00,0.328,-,0.64
2/5/2019,8:00,0.21,-,0.495
2/5/2019,9:00,0.006,-,0.265
2/5/2019,10:00,-0.243,-,-0.017
2/5/2019,11:00,-0.502,-,-0.287
2/5/2019,12:00,-0.731,-,-0.53
2/5/2019,13:00,-0.868,-,-0.704
2/5/2019,14:00,-0.866,-,-0.713
2/5/2019,15:00,-0.736,-,-0.534
2/5/2019,16:00,-0.518,-,-0.327
2/5/2019,17:00,-0.259,-,-0.056
2/5/2019,18:00,-0.02,-,0.223
2/5/2019,19:00,0.136,-,0.409
2/5/2019,20:00,0.178,-,0.455
2/5/2019,21:00,0.116,-,0.357
2/5/2019,22:00,-0.019,-,0.202
2/5/2019,23:00,-0.189,-,0.002
2/6/2019,0:00,-0.355,-,-0.205
2/6/2019,1:00,-0.46,-,-0.34
2/6/2019,2:00,-0.447,-,-0.319
2/6/2019,3:00,-0.317,-,-0.164
2/6/2019,4:00,-0.12,-,0.055
2/6/2019,5:00,0.093,-,0.325
2/6/2019,6:00,0.264,-,0.546
2/6/2019,7:00,0.337,-,0.634
2/6/2019,8:00,0.285,-,0.561
2/6/2019,9:00,0.124,-,0.369
2/6/2019,10:00,-0.106,-,0.117
2/6/2019,11:00,-0.363,-,-0.17
2/6/2019,12:00,-0.607,-,-0.43
2/6/2019,13:00,-0.791,-,-0.647
2/6/2019,14:00,-0.857,-,-0.753
2/6/2019,15:00,-0.78,-,-0.626
2/6/2019,16:00,-0.594,-,-0.435
2/6/2019,17:00,-0.351,-,-0.181
2/6/2019,18:00,-0.1,-,0.105
2/6/2019,19:00,0.094,-,0.33
2/6/2019,20:00,0.184,-,0.478
2/6/2019,21:00,0.162,-,0.467
2/6/2019,22:00,0.049,-,0.326
2/6/2019,23:00,-0.118,-,0.118
2/7/2019,0:00,-0.297,-,-0.094
2/7/2019,1:00,-0.444,-,-0.278
2/7/2019,2:00,-0.503,-,-0.343
2/7/2019,3:00,-0.435,-,-0.272
2/7/2019,4:00,-0.263,-,-0.083
2/7/2019,5:00,-0.047,-,0.177
2/7/2019,6:00,0.157,-,0.437
2/7/2019,7:00,0.292,-,0.63
2/7/2019,8:00,0.313,-,0.646
2/7/2019,9:00,0.213,-,0.518
2/7/2019,10:00,0.018,-,0.298
2/7/2019,11:00,-0.228,-,0.025
2/7/2019,12:00,-0.478,-,-0.238
2/7/2019,13:00,-0.687,-,-0.483
2/7/2019,14:00,-0.808,-,-0.664
2/7/2019,15:00,-0.796,-,-0.666
2/7/2019,16:00,-0.652,-,-0.468
2/7/2019,17:00,-0.425,-,-0.265
2/7/2019,18:00,-0.175,-,0.019
2/7/2019,19:00,0.042,-,0.273
2/7/2019,20:00,0.176,-,0.45
2/7/2019,21:00,0.197,-,0.48
2/7/2019,22:00,0.115,-,0.391
2/7/2019,23:00,-0.042,-,0.2
2/8/2019,0:00,-0.23,-,-0.027
2/8/2019,1:00,-0.402,-,-0.225
2/8/2019,2:00,-0.514,-,-0.356
2/8/2019,3:00,-0.52,-,-0.333
2/8/2019,4:00,-0.402,-,-0.177
2/8/2019,5:00,-0.201,-,0.041
2/8/2019,6:00,0.018,-,0.325
2/8/2019,7:00,0.197,-,0.564
2/8/2019,8:00,0.286,-,0.653
2/8/2019,9:00,0.259,-,0.596
2/8/2019,10:00,0.12,-,0.411
2/8/2019,11:00,-0.097,-,0.165
2/8/2019,12:00,-0.344,-,-0.103
2/8/2019,13:00,-0.568,-,-0.358
2/8/2019,14:00,-0.725,-,-0.577
2/8/2019,15:00,-0.775,-,-0.674
2/8/2019,16:00,-0.691,-,-0.558
2/8/2019,17:00,-0.492,-,-0.353
2/8/2019,18:00,-0.245,-,-0.094
2/8/2019,19:00,-0.014,-,0.183
2/8/2019,20:00,0.153,-,0.364
2/8/2019,21:00,0.221,-,0.442
