,start_date,start_time,weekday,ampm,start_navd_ft,stop_navd_ft,length_min,mins_sun,sun_perc,target,,,
1,10/8/2021,09:30:00 EDT,Fri,AM,-2.53,-2.49,60,60,100,TRAIN,,Sample Days,38
2,10/9/2021,10:00:00 EDT,Sat,AM,-2.51,-2.46,90,90,100,0,,,
3,10/10/2021,11:15:00 EDT,Sun,AM,-2.51,-2.47,45,45,100,0,,,
4,11/4/2021,07:15:00 EDT,Thu,AM,-2.53,-2.5,120,87,72.5,TRAIN,,,
5,11/5/2021,07:45:00 EDT,Fri,AM,-2.66,-2.41,165,161,97.58,1,,,
6,11/6/2021,08:15:00 EDT,Sat,AM,-2.6,-2.33,195,195,100,0,,,
7,11/7/2021,08:00:00 EST,Sun,AM,-2.53,-2.37,195,195,100,0,,,
8,11/8/2021,09:15:00 EST,Mon,AM,-2.6,-2.46,150,150,100,1,,,
9,11/9/2021,10:45:00 EST,Tue,AM,-2.5,-2.47,75,75,100,0,,,
10,11/18/2021,06:30:00 EST,Thu,AM,-2.51,-2.49,90,61,67.78,0,,,
11,11/19/2021,07:00:00 EST,Fri,AM,-2.58,-2.5,105,105,100,1,,,
12,11/20/2021,07:30:00 EST,Sat,AM,-2.57,-2.41,120,120,100,1,,,
13,11/21/2021,08:00:00 EST,Sun,AM,-2.52,-2.41,120,120,100,1,,,
14,11/22/2021,08:45:00 EST,Mon,AM,-2.5,-2.47,90,90,100,1,,,
15,12/2/2021,05:00:00 EST,Thu,AM,-2.56,-2.48,150,19,12.67,0,,,
16,12/3/2021,05:30:00 EST,Fri,AM,-2.69,-2.48,195,94,48.21,0,,,
17,12/4/2021,06:00:00 EST,Sat,AM,-2.63,-2.49,225,153,68,0,,,
18,12/5/2021,06:45:00 EST,Sun,AM,-2.61,-2.36,240,212,88.33,1,,,
19,12/6/2021,07:45:00 EST,Mon,AM,-2.67,-2.36,225,225,100,1,,,
20,12/7/2021,08:45:00 EST,Tue,AM,-2.58,-2.43,195,195,100,1,,,
21,12/8/2021,10:00:00 EST,Wed,AM,-2.51,-2.47,135,135,100,1,,,
22,12/16/2021,05:30:00 EST,Thu,AM,-2.52,-2.47,105,0,0,0,,,
23,12/17/2021,05:45:00 EST,Fri,AM,-2.51,-2.46,150,54,36,0,,,
24,12/18/2021,06:15:00 EST,Sat,AM,-2.52,-2.45,165,99,60,0,,,
25,12/19/2021,07:00:00 EST,Sun,AM,-2.63,-2.36,165,143,86.67,1,,,
26,12/20/2021,07:30:00 EST,Mon,AM,-2.57,-2.38,165,165,100,1,,,
27,12/21/2021,08:15:00 EST,Tue,AM,-2.62,-2.37,150,150,100,1,,,
28,12/22/2021,08:45:00 EST,Wed,AM,-2.52,-2.48,135,135,100,1,,,
29,12/23/2021,09:45:00 EST,Thu,AM,-2.57,-2.43,105,105,100,1,,,
30,12/24/2021,11:00:00 EST,Fri,AM,-2.51,-2.48,30,30,100,0,,,
31,12/30/2021,04:00:00 EST,Thu,AM,-2.52,-2.42,135,0,0,0,,,
32,12/31/2021,04:30:00 EST,Fri,AM,-2.66,-2.48,195,18,9.23,0,,,
33,1/1/2022,05:00:00 EST,Sat,AM,-2.63,-2.47,240,93,38.75,0,,,
34,1/2/2022,05:45:00 EST,Sun,AM,-2.63,-2.43,255,153,60,0,,,
35,1/3/2022,06:30:00 EST,Mon,AM,-2.54,-2.46,255,198,77.65,1,,,
36,1/4/2022,07:30:00 EST,Tue,AM,-2.61,-2.33,240,240,100,1,,,
37,1/5/2022,08:30:00 EST,Wed,AM,-2.59,-2.48,195,195,100,1,,,
38,1/6/2022,09:45:00 EST,Thu,AM,-2.59,-2.42,135,135,100,1,,,
39,1/14/2022,05:15:00 EST,Fri,AM,-2.56,-2.47,105,0,0,0,,,
40,1/15/2022,05:30:00 EST,Sat,AM,-2.54,-2.38,165,47,28.48,0,,,
41,1/16/2022,06:00:00 EST,Sun,AM,-2.55,-2.39,180,92,51.11,0,,,
42,1/17/2022,06:30:00 EST,Mon,AM,-2.53,-2.47,180,123,68.33,0,,,
43,1/18/2022,07:15:00 EST,Tue,AM,-2.64,-2.49,165,153,92.73,1,,,
44,1/19/2022,07:45:00 EST,Wed,AM,-2.59,-2.45,165,165,100,1,,,
45,1/20/2022,08:15:00 EST,Thu,AM,-2.51,-2.38,165,165,100,1,,,
46,1/21/2022,09:15:00 EST,Fri,AM,-2.6,-2.4,120,120,100,1,,,
47,1/22/2022,10:30:00 EST,Sat,AM,-2.51,-2.47,30,30,100,0,,,
48,1/28/2022,03:30:00 EST,Fri,AM,-2.5,-2.48,165,0,0,0,,,
49,1/29/2022,04:15:00 EST,Sat,AM,-2.6,-2.36,225,37,16.44,0,,,
50,1/30/2022,05:00:00 EST,Sun,AM,-2.63,-2.43,240,97,40.42,0,,,
51,1/31/2022,05:45:00 EST,Mon,AM,-2.61,-2.49,240,143,59.58,0,,,
52,2/1/2022,06:30:00 EST,Tue,AM,-2.55,-2.37,240,188,78.33,1,,,
53,2/2/2022,07:30:00 EST,Wed,AM,-2.65,-2.31,210,210,100,1,,,
54,2/3/2022,08:30:00 EST,Thu,AM,-2.65,-2.47,150,150,100,1,,,
55,2/4/2022,09:45:00 EST,Fri,AM,-2.56,-2.5,60,60,100,1,,,
56,2/13/2022,05:30:00 EST,Sun,AM,-2.52,-2.46,120,16,13.33,0,,,
57,2/14/2022,06:00:00 EST,Mon,AM,-2.6,-2.41,150,77,51.33,0,,,
58,2/15/2022,06:30:00 EST,Tue,AM,-2.63,-2.49,150,108,72,0,,,
59,2/16/2022,07:00:00 EST,Wed,AM,-2.62,-2.48,150,139,92.67,1,,,
60,2/17/2022,07:30:00 EST,Thu,AM,-2.55,-2.39,150,150,100,1,,,
61,2/18/2022,08:15:00 EST,Fri,AM,-2.55,-2.39,120,120,100,1,,,
62,2/19/2022,09:30:00 EST,Sat,AM,-2.51,-2.47,30,30,100,1,,,
63,2/26/2022,03:45:00 EST,Sat,AM,-2.52,-2.45,135,0,0,0,,,
64,2/27/2022,04:30:00 EST,Sun,AM,-2.6,-2.46,180,29,16.11,0,,,
65,2/28/2022,05:15:00 EST,Mon,AM,-2.65,-2.43,195,90,46.15,0,,,
66,3/1/2022,06:00:00 EST,Tue,AM,-2.66,-2.35,195,136,69.74,1,,,
67,3/2/2022,06:45:00 EST,Wed,AM,-2.61,-2.47,165,153,92.73,1,,,
68,3/3/2022,07:30:00 EST,Thu,AM,-2.51,-2.43,135,135,100,1,,,
69,3/4/2022,09:00:00 EST,Fri,AM,-2.5,-2.49,15,15,100,0,,,
70,3/15/2022,07:00:00 EDT,Tue,AM,-2.5,-2.45,75,32,42.67,0,,,
71,3/16/2022,07:30:00 EDT,Wed,AM,-2.55,-2.43,90,78,86.67,1,,,
72,3/17/2022,08:00:00 EDT,Thu,AM,-2.51,-2.49,75,75,100,1,,,
73,3/20/2022,21:45:00 EDT,Sun,PM,-2.51,-2.47,105,0,0,0,,,
74,3/21/2022,22:30:00 EDT,Mon,PM,-2.6,-2.42,120,0,0,0,,,
75,3/22/2022,23:15:00 EDT,Tue,PM,-2.53,-2.43,120,0,0,0,,,
76,3/24/2022,01:00:00 EDT,Thu,AM,-2.51,-2.49,30,0,0,0,,,
77,3/28/2022,06:15:00 EDT,Mon,AM,-2.54,-2.47,60,0,0,0,,,
78,3/29/2022,06:45:00 EDT,Tue,AM,-2.54,-2.42,90,49,54.44,1,,,
79,3/30/2022,07:45:00 EDT,Wed,AM,-2.53,-2.46,45,45,100,1,,,
80,4/1/2022,21:15:00 EDT,Fri,PM,-2.5,-2.49,15,0,0,0,,,
